"Start Time","End Time","Text","Video Track","Layer ID"
"00:00:27:06","00:01:32:03","Question 1 Numéro 1","2","1"
"00:01:32:03","00:02:05:51","Question 1 Numéro 2","2","1"
"00:02:05:51","00:03:02:25","Question 1 Numéro 3","2","1"
"00:03:02:25","00:03:31:33","Question 1 Numéro 4","2","1"
"00:03:31:33","00:04:35:29","Question 1 Numéro 5","2","1"
"00:04:35:29","00:05:06:41","Question 1 Numéro 6","2","1"
"00:05:06:41","00:05:50:42","Question 1 Numéro 7","2","1"
"00:05:50:42","00:06:40:13","Question 1 Numéro 8","2","1"
"00:06:40:13","00:07:22:54","Question 1 Numéro 9","2","1"
"00:07:22:54","00:08:36:32","Question 1 Numéro 10","2","1"
"00:08:36:32","00:09:06:09","Question 1 Numéro 11","2","1"
"00:09:06:09","00:10:34:24","Question 1 Numéro 12","2","1"
"00:10:34:24","00:11:22:36","Question 1 Numéro 13","2","1"
"00:11:22:36","00:12:13:44","Question 1 Numéro 14","2","1"
"00:12:13:44","00:14:03:31","Question 1 Numéro 15","2","1"
"00:14:03:31","00:14:26:52","Question 1 Numéro 15","2","1"
"00:14:26:52","00:16:28:33","Question 1 Numéro 16","2","1"
"00:16:28:33","00:17:50:02","Question 1 Numéro 17","2","1"
"00:17:50:02","00:19:15:45","Question 1 Numéro 18","2","1"
"00:19:15:45","00:21:23:19","Question 1 Numéro 19","2","1"
"00:21:23:19","00:23:14:43","Question 1 Numéro 20","2","1"
"00:23:14:43","00:24:26:34","Question 1 Numéro 20","2","1"
"00:24:26:34","00:26:16:33","Question 1 Numéro 21","2","1"
"00:26:16:33","00:28:47:58","Question 1 Numéro 22","2","1"
"00:28:47:58","00:30:31:28","Question 1 Numéro 22","2","1"
"00:30:31:28","00:32:10:39","Question 1 Numéro 23","2","1"
"00:32:10:39","00:34:32:27","Question 1 Numéro 24","2","1"
"00:34:32:27","00:35:19:22","Question 1 Numéro 24","2","1"
"00:35:19:22","00:36:34:26","Question 1 Numéro 25","2","1"
"00:36:34:26","00:38:48:43","Question 1 Numéro 26","2","1"
"00:38:48:43","00:38:51:49","Question 1 Numéro 26","2","1"
"00:38:51:49","00:41:06:16","Question 1 Numéro 27","2","1"
"00:41:06:16","00:42:05:34","Question 1 Numéro 28","2","1"
"00:42:05:34","00:44:36:17","Question 1 Numéro 29","2","1"
"00:44:36:17","00:45:35:45","Question 2 Numéro 1","2","1"
"00:45:35:45","00:46:18:01","Question 2 Numéro 2","2","1"
"00:46:18:01","00:47:09:31","Question 2 Numéro 3","2","1"
"00:47:09:31","00:47:53:32","Question 3 Numéro 1","2","1"
"00:47:53:32","00:49:14:57","Question 3 Numéro 2","2","1"
"00:49:14:57","00:50:56:35","Question 3 Numéro 3","2","1"
"00:50:56:35","00:52:14:24","Question 3 Numéro 4","2","1"
"00:52:14:24","00:54:05:41","Question 3 Numéro 5","2","1"
"00:54:05:41","00:55:17:34","Question 3 Numéro 5","2","1"
"00:55:17:34","00:56:14:52","Question 3 Numéro 5","2","1"
"00:56:14:52","00:58:24:01","Question 3 Numéro 6","2","1"
"00:58:24:01","01:00:40:44","Question 3 Numéro 6","2","1"
"01:00:40:44","01:02:04:47","Question 3 Numéro 7","2","1"
"01:02:04:47","01:04:24:36","Question 3 Numéro 7","2","1"
"01:04:24:36","01:08:02:11","Question 3 Numéro 8","2","1"
